timestamp,CO2
2017-10-01 00:00:00,340.7225932686553
2017-10-01 01:00:00,340.7495805871028
2017-10-01 02:00:00,344.68765833497326
2017-10-01 03:00:00,342.85643739633224
2017-10-01 04:00:00,345.97347482504773
2017-10-01 05:00:00,347.96532140429036
2017-10-01 06:00:00,347.01402995998427
2017-10-01 07:00:00,339.22984913513
2017-10-01 08:00:00,337.17413880481877
2017-10-01 09:00:00,330.90160095053517
2017-10-01 10:00:00,329.8836147708293
2017-10-01 11:00:00,329.1929558184894
2017-10-01 12:00:00,330.444876525396
2017-10-01 13:00:00,328.989970483735
2017-10-01 14:00:00,327.8641837267303
2017-10-01 15:00:00,326.20516887366136
2017-10-01 16:00:00,331.54295965423927
2017-10-01 17:00:00,335.77894410047634
2017-10-01 18:00:00,337.1443271809673
2017-10-01 19:00:00,336.18372004146516
2017-10-01 20:00:00,334.58573861314
2017-10-01 21:00:00,338.9797113379218
2017-10-01 22:00:00,338.3712792775522
2017-10-01 23:00:00,339.54167477740623
2017-10-02 00:00:00,344.1716901925749
2017-10-02 01:00:00,346.48488713001603
2017-10-02 02:00:00,356.1113935244572
2017-10-02 03:00:00,359.7465285838185
2017-10-02 04:00:00,361.2961231422822
2017-10-02 05:00:00,362.5204042696537
2017-10-02 06:00:00,349.7219048603608
2017-10-02 07:00:00,350.77166974338417
2017-10-02 08:00:00,345.5407121548668
2017-10-02 09:00:00,340.5680551523112
2017-10-02 10:00:00,337.5564402218858
2017-10-02 11:00:00,335.61710455243934
2017-10-02 12:00:00,333.1065298912204
2017-10-02 13:00:00,332.7668843047265
2017-10-02 14:00:00,333.53246708862247
2017-10-02 15:00:00,334.23188496608867
2017-10-02 16:00:00,335.3220843898812
2017-10-02 17:00:00,335.25756505386653
2017-10-02 18:00:00,334.0411253168114
2017-10-02 19:00:00,336.041648788711
2017-10-02 20:00:00,340.0481498556855
2017-10-02 21:00:00,340.90640665561483
2017-10-02 22:00:00,342.2264015341678
2017-10-02 23:00:00,340.22204296135146
2017-10-03 00:00:00,337.0868123555254
2017-10-03 01:00:00,339.827460261367
2017-10-03 02:00:00,342.48576146151663
2017-10-03 03:00:00,346.7091531828533
2017-10-03 04:00:00,342.28827426904456
2017-10-03 05:00:00,343.32551364984806
2017-10-03 06:00:00,345.64217610322197
2017-10-03 07:00:00,336.6015277454398
2017-10-03 08:00:00,336.73073939274116
2017-10-03 09:00:00,332.92897976193177
2017-10-03 10:00:00,330.60044184730816
2017-10-03 11:00:00,325.15069069729225
2017-10-03 12:00:00,322.08831483165096
2017-10-03 13:00:00,326.8711398715494
2017-10-03 14:00:00,325.7112583661698
2017-10-03 15:00:00,328.4588922652888
2017-10-03 16:00:00,329.60917737623157
2017-10-03 17:00:00,333.954442869317
2017-10-03 18:00:00,336.1677308777065
2017-10-03 19:00:00,336.4801879672934
2017-10-03 20:00:00,336.4286964902517
2017-10-03 21:00:00,338.4448840540326
2017-10-03 22:00:00,337.1163452179703
2017-10-03 23:00:00,338.4976568491185
2017-10-04 00:00:00,335.93226172917736
2017-10-04 01:00:00,334.34276177542426
2017-10-04 02:00:00,339.3712667737002
2017-10-04 03:00:00,335.46872019999535
2017-10-04 04:00:00,337.04197297627024
2017-10-04 05:00:00,346.71669564145475
2017-10-04 06:00:00,352.4596603076173
2017-10-04 07:00:00,350.40065855665716
2017-10-04 08:00:00,342.2360366482438
2017-10-04 09:00:00,337.1582079607905
2017-10-04 10:00:00,329.5395430608202
2017-10-04 11:00:00,328.9223109694876
2017-10-04 12:00:00,327.656886575007
2017-10-04 13:00:00,323.619297423031
2017-10-04 14:00:00,321.2077802295762
2017-10-04 15:00:00,324.872846232489
2017-10-04 16:00:00,326.0710923379344
2017-10-04 17:00:00,331.7375731871325
2017-10-04 18:00:00,335.90308006115515
2017-10-04 19:00:00,333.67887719162565
2017-10-04 20:00:00,332.7080202379785
2017-10-04 21:00:00,333.37934880682883
2017-10-04 22:00:00,342.85585222771505
2017-10-04 23:00:00,344.599706555579
2017-10-05 00:00:00,348.79409355333
2017-10-05 01:00:00,350.4055881520571
2017-10-05 02:00:00,348.95555013760196
2017-10-05 03:00:00,351.1000991307026
2017-10-05 04:00:00,364.25434458806603
2017-10-05 05:00:00,370.9244593687102
2017-10-05 06:00:00,373.3531945262066
2017-10-05 07:00:00,363.3160312697121
2017-10-05 08:00:00,349.2182638840886
2017-10-05 09:00:00,338.6204838826558
2017-10-05 10:00:00,331.18355596390563
2017-10-05 11:00:00,328.8747060848824
2017-10-05 12:00:00,326.84081895150365
2017-10-05 13:00:00,326.91060583349827
2017-10-05 14:00:00,324.53893652389854
2017-10-05 15:00:00,322.9365759152398
2017-10-05 16:00:00,326.79235869521153
2017-10-05 17:00:00,327.53135634417873
2017-10-05 18:00:00,326.111387125355
2017-10-05 19:00:00,322.3406317018098
2017-10-05 20:00:00,324.10369000673955
2017-10-05 21:00:00,323.8008480864846
2017-10-05 22:00:00,329.6215311745336
2017-10-05 23:00:00,327.10921911209886
2017-10-06 00:00:00,323.04625576190904
2017-10-06 01:00:00,326.712393657171
2017-10-06 02:00:00,328.4232881336871
2017-10-06 03:00:00,332.71070161856477
2017-10-06 04:00:00,337.6329026850373
2017-10-06 05:00:00,340.621902137486
2017-10-06 06:00:00,337.59015122549596
2017-10-06 07:00:00,330.76809035114064
2017-10-06 08:00:00,325.1153764216738
2017-10-06 09:00:00,322.97158595400526
2017-10-06 10:00:00,323.69732145422097
2017-10-06 11:00:00,321.46998469717164
2017-10-06 12:00:00,323.090984180542
